Error,Time,Features
84.938979128775713,2015-04-15 03:18:48,"{'all_upper': False, 'word': False, 'use_dictionary': False, 'dictionary': [], 'question_percent': False, 'wiki_answer': True, 'foreign': True, 'ngram_range': (2, 10), 'speech': True, 'numbers': True, 'capital': True, 'unique': True, 'question_average': True, 'user_average': True, 'question_count': True, 'before_noun': True}"
84.776395258246595,2015-04-15 03:20:32,"{'all_upper': False, 'word': False, 'use_dictionary': False, 'dictionary': [], 'question_percent': False, 'wiki_answer': True, 'foreign': True, 'ngram_range': (2, 10), 'speech': True, 'numbers': False, 'capital': True, 'unique': True, 'question_average': True, 'user_average': True, 'question_count': False, 'before_noun': True}"
85.160424463108697,2015-04-15 03:23:00,"{'all_upper': False, 'word': False, 'use_dictionary': False, 'dictionary': [], 'question_percent': False, 'wiki_answer': False, 'foreign': True, 'ngram_range': (2, 10), 'speech': True, 'numbers': False, 'capital': True, 'unique': True, 'question_average': True, 'user_average': True, 'question_count': False, 'before_noun': True}"
84.605026601944815,2015-04-15 03:27:02,"{'all_upper': False, 'word': False, 'use_dictionary': False, 'dictionary': [], 'question_percent': False, 'wiki_answer': True, 'foreign': True, 'ngram_range': (2, 10), 'speech': True, 'numbers': False, 'capital': True, 'unique': True, 'question_average': False, 'user_average': True, 'question_count': False, 'before_noun': True}"
84.605026601944815,2015-04-15 03:59:37,"{'all_upper': False, 'word': False, 'use_dictionary': False, 'dictionary': [], 'question_percent': False, 'wiki_answer': True, 'foreign': True, 'ngram_range': (2, 10), 'speech': True, 'numbers': False, 'capital': True, 'unique': True, 'question_average': False, 'user_average': True, 'question_count': False, 'before_noun': True}"
60.031658314592647,2015-04-15 19:20:08,"{'all_upper': False, 'word': False, 'use_dictionary': False, 'dictionary': [], 'provided_answer': True, 'question_percent': False, 'wiki_answer': True, 'foreign': True, 'ngram_range': (2, 10), 'speech': True, 'numbers': False, 'capital': True, 'unique': True, 'question_average': False, 'user_average': True, 'question_count': False, 'before_noun': True}"
84.95864009219892,2015-04-15 19:48:41,"{'all_upper': False, 'word': False, 'use_dictionary': False, 'dictionary': [], 'provided_answer': True, 'question_percent': False, 'wiki_answer': True, 'foreign': True, 'ngram_range': (2, 10), 'speech': True, 'numbers': False, 'capital': True, 'unique': True, 'question_average': False, 'user_average': True, 'question_count': False, 'before_noun': True}"
84.95864009219892,2015-04-15 20:01:30,"{'all_upper': False, 'word': False, 'use_dictionary': False, 'dictionary': [], 'provided_answer': False, 'question_percent': False, 'wiki_answer': True, 'foreign': True, 'ngram_range': (2, 10), 'speech': True, 'numbers': False, 'capital': True, 'unique': True, 'question_average': False, 'user_average': True, 'question_count': False, 'before_noun': True}"
84.95864009219892,2015-04-15 20:05:31,"{'all_upper': False, 'word': False, 'use_dictionary': False, 'dictionary': [], 'provided_answer': False, 'question_percent': False, 'wiki_answer': True, 'foreign': True, 'ngram_range': (2, 10), 'speech': True, 'numbers': False, 'capital': True, 'unique': True, 'question_average': False, 'user_average': True, 'question_count': False, 'before_noun': True}"
84.925740523758591,2015-04-16 01:40:59,"{'all_upper': False, 'word': False, 'use_dictionary': False, 'dictionary': [], 'provided_answer': False, 'question_percent': False, 'wiki_answer': False, 'foreign': True, 'ngram_range': (1, 10), 'speech': True, 'numbers': False, 'capital': True, 'unique': True, 'question_average': False, 'user_average': True, 'question_count': True, 'before_noun': False}"
84.926351994877862,2015-04-16 01:48:51,"{'all_upper': False, 'word': False, 'use_dictionary': False, 'dictionary': [], 'provided_answer': False, 'question_percent': False, 'wiki_answer': False, 'foreign': True, 'ngram_range': (1, 20), 'speech': True, 'numbers': False, 'capital': True, 'unique': True, 'question_average': False, 'user_average': True, 'question_count': True, 'before_noun': False}"
84.926351994877862,2015-04-16 01:50:50,"{'all_upper': False, 'word': False, 'use_dictionary': False, 'dictionary': [], 'provided_answer': False, 'question_percent': False, 'wiki_answer': False, 'foreign': True, 'ngram_range': (1, 15), 'speech': True, 'numbers': False, 'capital': True, 'unique': True, 'question_average': False, 'user_average': True, 'question_count': True, 'before_noun': False}"
84.926351994877862,2015-04-16 01:52:23,"{'all_upper': False, 'word': False, 'use_dictionary': False, 'dictionary': [], 'provided_answer': False, 'question_percent': False, 'wiki_answer': False, 'foreign': True, 'ngram_range': (1, 5), 'speech': True, 'numbers': False, 'capital': True, 'unique': True, 'question_average': False, 'user_average': True, 'question_count': True, 'before_noun': False}"
85.235333666638255,2015-04-16 01:55:12,"{'all_upper': False, 'word': False, 'use_dictionary': False, 'dictionary': [], 'provided_answer': False, 'question_percent': False, 'wiki_answer': False, 'foreign': True, 'ngram_range': (1, 1), 'speech': True, 'numbers': False, 'capital': True, 'unique': True, 'question_average': False, 'user_average': True, 'question_count': True, 'before_noun': False}"
84.926351994877862,2015-04-16 02:01:10,"{'all_upper': False, 'word': False, 'use_dictionary': False, 'dictionary': [], 'provided_answer': False, 'question_percent': False, 'wiki_answer': False, 'foreign': True, 'ngram_range': (1, 4), 'speech': True, 'numbers': False, 'capital': True, 'unique': True, 'question_average': False, 'user_average': True, 'question_count': True, 'before_noun': False}"
84.926351994877862,2015-04-16 02:04:37,"{'all_upper': False, 'word': False, 'use_dictionary': False, 'dictionary': [], 'provided_answer': False, 'question_percent': False, 'wiki_answer': False, 'foreign': True, 'ngram_range': (2, 4), 'speech': True, 'numbers': False, 'capital': True, 'unique': True, 'question_average': False, 'user_average': True, 'question_count': True, 'before_noun': False}"
84.926273495453472,2015-04-16 02:08:57,"{'all_upper': False, 'word': False, 'use_dictionary': False, 'dictionary': [], 'provided_answer': False, 'question_percent': False, 'wiki_answer': False, 'foreign': True, 'ngram_range': (2, 8), 'speech': True, 'numbers': False, 'capital': True, 'unique': True, 'question_average': False, 'user_average': True, 'question_count': True, 'before_noun': False}"
84.926351994877862,2015-04-16 02:11:53,"{'all_upper': False, 'word': False, 'use_dictionary': False, 'dictionary': [], 'provided_answer': False, 'question_percent': False, 'wiki_answer': False, 'foreign': True, 'ngram_range': (4, 8), 'speech': True, 'numbers': False, 'capital': True, 'unique': True, 'question_average': False, 'user_average': True, 'question_count': True, 'before_noun': False}"
